image_id,mask_id,class_name
labeller52_161--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller52_161--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Papule
labeller52_161--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller52_161--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Scar
labeller1_034441HB,labeller1_034441HB_00000,Open comedo
labeller52_acne-face-1-5--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller52_acne-face-1-5--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Pustule
labeller52_acne-face-1-5--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller52_acne-face-1-5--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Scar
labeller72_verruca--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller72_verruca--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Papule
labeller62_546--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller62_546--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Plaque
labeller62_546--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller62_546--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Sun damage
labeller62_546--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller62_546--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Scale
labeller7_2754--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller7_2754--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Scale
labeller7_2754--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller7_2754--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Papule
labeller7_2754--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller7_2754--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Macule
labeller72_wart12--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller72_wart12--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Plaque
labeller72_wart12--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller72_wart12--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Papule
labeller42_acne-face-4-4--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller42_acne-face-4-4--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Pustule
labeller42_acne-face-4-4--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller42_acne-face-4-4--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Papule
labeller12_044723HB,labeller12_044723HB_00000,Plaque
labeller12_044723HB,labeller12_044723HB_00001,Scale
labeller1_032793HB,labeller1_032793HB_00000,Papule
labeller1_032793HB,labeller1_032793HB_00001,Pustule
labeller1_032793HB,labeller1_032793HB_00002,Closed comedo
labeller12_viral-wart-14--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller12_viral-wart-14--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Plaque
